編號,名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,卡片,封印,騎乘,出沒,一級出沒,入手方法,入手類型,image,來源
001,虎人,野獸系,22,26,17,19,16,8,100,地3風7,攻擊LV1、防禦LV1,2級普卡,○,○,謎之謎宮、里歐波多洞窟、動物研究室、白之練兵場(藍),動物研究室全域；請參考「暗殺犯追跡(六等勳章)」任務,謎之謎宮、里歐波多洞窟、動物研究室、白之練兵場(藍)；動物研究室全域；請參考「暗殺犯追跡(六等勳章)」任務,捕捉,/img/原生寵物/虎人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #001
002,貓妖,野獸系,19,24,17,28,17,9,105,水7火3,攻擊LV1、防禦LV1,2級普卡,○,○,謎之謎宮、動物研究室、白之練兵場(藍),動物研究室全域；請參考「暗殺犯追跡(六等勳章)」任務,謎之謎宮、動物研究室、白之練兵場(藍)；動物研究室全域；請參考「暗殺犯追跡(六等勳章)」任務,捕捉,/img/原生寵物/貓妖.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #002
003,羅剎,野獸系,24,25,14,25,20,9,108,水3火7,攻擊LV1、防禦LV1、強火LV1,3級銀卡,○,○,炎之洞窟(頂樓)、詛咒的迷宮地下十一至二十樓、白之練兵場(藍),"詛咒的迷宮地下13樓(25,5)；請參考「戰鬥系階級提昇Ⅲ」任務","炎之洞窟(頂樓)、詛咒的迷宮地下十一至二十樓、白之練兵場(藍)；詛咒的迷宮地下13樓(25,5)；請參考「戰鬥系階級提昇Ⅲ」任務",捕捉,/img/原生寵物/羅剎.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #003
004,貓人,野獸系,23,27,15,26,14,9,105,地5風5,攻擊LV1、防禦LV1、陽炎LV1,3級銀卡,○,○,莎蓮娜東邊洞窟、白之練兵場(藍),莎蓮娜東邊洞窟地下二樓(12.16),莎蓮娜東邊洞窟、白之練兵場(藍)；莎蓮娜東邊洞窟地下二樓(12.16),捕捉,/img/原生寵物/貓人.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #004
005,惡魔貓,野獸系,21,23,12,27,22,9,105,地7風3,攻擊LV1、防禦LV1、強隕LV1,3級銀卡,○,○,莎蓮娜西邊洞窟、白之練兵場(藍),莎蓮娜西邊洞窟傑諾瓦側1樓(15.15)、(14.18),莎蓮娜西邊洞窟、白之練兵場(藍)；莎蓮娜西邊洞窟傑諾瓦側1樓(15.15)、(14.18),捕捉,/img/原生寵物/惡魔貓.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #005
006,妖狐,野獸系,18,30,11,25,26,8,110,水5火5,攻擊LV1、防禦LV1、吸血攻擊LV1,4級銀卡,○,○,佛利波羅島冰之洞窟、白之練兵場(藍),"冰之洞窟二樓(16,24)、(16,23)；請參考「冰雪的牢城」任務","佛利波羅島冰之洞窟、白之練兵場(藍)；冰之洞窟二樓(16,24)、(16,23)；請參考「冰雪的牢城」任務",捕捉,/img/原生寵物/妖狐.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #006
007,穴熊,野獸系,34,34,19,19,14,6,120,地8水2,攻擊LV1、防禦LV1、崩擊LV1,3級普卡,○,○,芙蕾雅島維諾亞洞窟,維諾亞洞窟全域(生產系專用通道無),芙蕾雅島維諾亞洞窟；維諾亞洞窟全域(生產系專用通道無),捕捉,/img/原生寵物/穴熊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #007
008,赤熊,野獸系,35,36,15,20,14,6,120,火8風2,攻擊LV1、防禦LV1,5級普卡,○,○,尼維爾海村周圍,德威特島尼維爾海村附近(515.469)，需要從法蘭城中央的傳送石到亞諾曼城,尼維爾海村周圍；德威特島尼維爾海村附近(515.469)，需要從法蘭城中央的傳送石到亞諾曼城,捕捉,/img/原生寵物/赤熊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #008
009,北極熊,野獸系,36,33,22,18,11,6,120,地2水8,攻擊LV1、防禦LV1、乾坤一擲LV1,5級普卡,○,○,莎蓮娜島阿巴尼斯村周邊,阿巴尼斯村外圍(255.182)、(256.191),莎蓮娜島阿巴尼斯村周邊；阿巴尼斯村外圍(255.182)、(256.191),捕捉,/img/原生寵物/北極熊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #009
010,赤目黑熊,野獸系,33,35,14,22,16,6,120,火2風8,攻擊LV1、防禦LV1、諸刃LV1,6級銀卡,○,○,莎蓮娜島阿斯提亞參道、森之迷宮、白迷宮,"白迷宮3樓(63,150)；請參考「誓言之花」任務、活動「紅利兌換」","莎蓮娜島阿斯提亞參道、森之迷宮、白迷宮；白迷宮3樓(63,150)；請參考「誓言之花」任務、活動「紅利兌換」",捕捉,/img/原生寵物/赤目黑熊.gif,[蔚藍幻境](https://cg.skyey.tw/pet/petbook.html) #010
