日期,地點,欄位,異動,提供者
2026-09-26,魯米那斯村（魯村）／雷克塔爾鎮（雷村）,練技分類,補入練技區與練技推薦路線，保留原練功條目；依最低怪物等級推算角色練技上限為 96／102 級，並註明初心實測待確認,玩家提醒
2026-09-26,魯米那斯村（魯村）,新增地點,納入新手推薦路線，補上初心玩家建議等級、怪物、回補資訊與前往方式；未確認欄位保留待補,玩家建議／巴哈姆特初心板
2026-09-26,雷克塔爾鎮（雷村）,新增地點,納入新手推薦路線，補上村口怪物、參考水晶與回補路線；舊版資料及初心待確認部分另行註明,玩家建議／外部攻略整理
2026-08-06,哥布林之家,適合等級,1~15 → 「-」（撤銷先前用等級差公式推算的數值，改回未定）,
2026-08-06,城內的地下迷宮（靈堂）,適合等級,4~22 → 「-」（撤銷先前用等級差公式推算的數值，改回未定）,
2026-08-06,地下通道,怪物,惡夢貘 → 惡夢鼠（訂正怪物名稱）,手工肥料
2026-08-06,神木禁地外（神木外）,建議水晶,風地／火風 → 純火／火風／水火,潔
2026-08-30,魚人密道,註,新增「遇怪率低」,玩家回報
2026-08-30,魚人密道,怎麼去,"補充神木內 BOSS、魚人水晶取得流程與神木外圍入口 (356,285)",玩家回報
2026-08-30,史萊姆的臨時住所,註,補充為不可思議系列三「史萊姆的回憶」的一環,玩家回報
2026-08-30,史萊姆的臨時住所,怎麼去,"補充取得手電筒後，由達米達村小拓傳送前往的路線",玩家回報
