等級,名稱,分類,類型,材料,能力,說明,販店價,image
1,硬皮頭盔,頭盔,頭部防具,鹿皮(20)、麻布(2),防禦+6~+11 抗魔+5~+7,硬皮做的頭盔。,140,/img/防具/硬皮頭盔.gif
1,銅製頭盔,頭盔,頭部防具,銅條(3)、麻布(3),防禦+9~+17 抗魔+3~+5,銅做的頭盔，薄但重。,200,/img/防具/銅製頭盔.gif
1,硬帽,帽子,頭部防具,印度輕木(20)、鹿皮(20)、麻布(4),防禦+6~+11 命中+5,稍微硬厚的帽子。,200,/img/防具/硬帽.gif
1,麻布帽,帽子,頭部防具,鹿皮(20)、麻布(2),防禦+4~+7 命中+5,薄布做的帽子。,140,/img/防具/麻布帽.gif
1,護心甲,鎧甲,身體防具,銅條(4)、鐵條(3)、印度輕木(20),防禦+16~+32 閃躲-10 抗魔+4~+6,保護胸部的板子。,300,/img/防具/護心甲.gif
1,軟皮甲,鎧甲,身體防具,銅條(3)、印度輕木(20)、鹿皮(20),防禦+11~+21 閃躲-10 抗魔+6~+8,皮做的輕盔甲。,220,/img/防具/軟皮甲.gif
1,保護衣,衣服,身體防具,銅條(3)、鹿皮(20)、麻布(3)、木棉布(2),防禦+11~+21 閃躲+5,穿在盔甲下面，保護皮膚。,300,/img/防具/保護衣.gif
1,旅人之服,衣服,身體防具,鹿皮(20)、麻布(4)、印度輕木(10),防禦+7~+14 閃躲+5,是普通的布料，但口袋多，方便。,220,/img/防具/旅人之服.gif
1,羽毛袍,長袍,身體防具,鹿皮(20)、麻布(4)、印度輕木(10),防禦+4~+8 魔力+40~+50,以輕量羽毛做的袍。,220,/img/防具/羽毛袍.gif
1,輕皮袍,長袍,身體防具,鹿皮(20)、麻布(5)、木棉布(4)、印度輕木(10),防禦+6~+12 魔力+60~+75,以輕量皮做的袍。,370,/img/防具/輕皮袍.gif
1,皮靴,靴子,足部防具,銅條(7)、鹿皮(20),防禦+8~+15 抗魔+1~+3,皮做的靴。,250,/img/防具/皮靴.gif
